,A01,A02,A03,A09,A10,A11,A19,A23,A24,A25,A26,A29,A30,A31,A32,A33,A34,A36,A43,A66,A68,A69,A74,A80,B01,B07,B08,B13,B14,B15,B16,B17,B18,B22,B27,B35,B37,B38,B39,B40,B41,B42,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B67,B73,B78,B81,B82,B83,C01,C02,C03,C04,C05,C06,C07,C08,C12,C14,C15,C16,C17,C18,DPA101,DPA102,DPA104,DPB101,DPB102,DPB103,DPB104,DPB105,DPB106,DPB108,DPB109,DPB110,DPB1104,DPB1106,DPB1107,DPB111,DPB113,DPB114,DPB115,DPB116,DPB117,DPB118,DPB119,DPB120,DPB121,DPB122,DPB123,DPB125,DPB126,DPB127,DPB128,DPB129,DPB130,DPB131,DPB132,DPB133,DPB134,DPB135,DPB136,DPB139,DPB140,DPB141,DPB145,DPB146,DPB148,DPB149,DPB150,DPB151,DPB172,DPB180,DPB181,DPB191,DPB193,DQA101,DQA102,DQA103,DQA104,DQA105,DQA106,DQB102,DQB103,DQB104,DQB105,DQB106,DRB101,DRB103,DRB104,DRB107,DRB108,DRB109,DRB110,DRB111,DRB112,DRB113,DRB114,DRB115,DRB116,PopName,PopSize,SubtypeConflicts,A,B,C,DistanceToNN
0,0.094,0.247,0.08,0.0,0.006999999999999999,0.076,0.003,0.01,0.08,0.0,0.063,0.013999999999999999,0.063,0.021,0.09,0.055999999999999994,0.0,0.0,0.003,0.003,0.08,0.003,0.006999999999999999,0.0,0.003,0.027999999999999997,0.11800000000000001,0.003,0.017,0.031,0.003,0.0,0.045,0.003,0.003,0.122,0.031,0.003,0.006999999999999999,0.094,0.0,0.003,0.017,0.003,0.0,0.0,0.0,0.01,0.115,0.174,0.035,0.031,0.0,0.017,0.0,0.021,0.045,0.0,0.0,0.0,0.01,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beduins,143.0,,0.0,0.0,0.0,0.04127
1,0.114,0.223,0.228,0.0,0.0,0.03,0.0,0.04,0.064,0.02,0.04,0.069,0.045,0.015,0.054000000000000006,0.025,0.0,0.005,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.08800000000000001,0.035,0.012,0.065,0.018000000000000002,0.0,0.0,0.08800000000000001,0.0,0.040999999999999995,0.065,0.018000000000000002,0.040999999999999995,0.03,0.047,0.018000000000000002,0.0,0.165,0.012,0.0,0.0,0.006,0.035,0.024,0.11800000000000001,0.0,0.024,0.0,0.024,0.0,0.036000000000000004,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spanish Andalusia,143.0,,0.0,0.0,0.0,
2,0.135,0.28,0.098,0.0,0.0,0.061,0.0,0.02,0.10400000000000001,0.015,0.015,0.13,0.073,0.03,0.01,0.005,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.131,0.096,0.005,0.025,0.066,0.0,0.0,0.10099999999999999,0.0,0.035,0.051,0.0,0.0,0.01,0.05,0.0,0.0,0.23199999999999998,0.0,0.0,0.005,0.0,0.061,0.005,0.055999999999999994,0.0,0.005,0.0,0.005,0.0,0.045,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spanish Gipuzkoa Basque,143.0,,0.0,0.0,0.0,
3,0.11,0.263,0.10300000000000001,0.0,0.0,0.07400000000000001,0.0,0.040999999999999995,0.067,0.011000000000000001,0.047,0.083,0.057999999999999996,0.02,0.034,0.032,0.0,0.0,0.0,0.0072,0.043,0.0072,0.0,0.0,0.0,0.059000000000000004,0.040999999999999995,0.009000000000000001,0.094,0.038,0.0,0.0,0.092,0.0,0.025,0.124,0.0036,0.045,0.016,0.034,0.0072,0.0,0.142,0.025,0.0,0.0018,0.0036,0.055999999999999994,0.036000000000000004,0.084,0.02,0.0072,0.0,0.0072,0.0,0.018000000000000002,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spanish Sevilla,143.0,,0.0,0.0,0.0,
4,0.106,0.312,0.11,0.0,0.0,0.05,0.0,0.04,0.10099999999999999,0.022000000000000002,0.047,0.066,0.040999999999999995,0.026000000000000002,0.024,0.015,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.09,0.07400000000000001,0.022000000000000002,0.043,0.06,0.0,0.0,0.096,0.0,0.018000000000000002,0.091,0.013000000000000001,0.040999999999999995,0.025,0.031,0.009000000000000001,0.006,0.154,0.004,0.0,0.006,0.001,0.065,0.015,0.079,0.003,0.021,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spanish Majorca,143.0,,0.0,0.0,0.0,
5,0.10800000000000001,0.271,0.078,0.0,0.0,0.084,0.0,0.018000000000000002,0.102,0.042,0.06,0.06,0.048,0.018000000000000002,0.06,0.012,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.10800000000000001,0.054000000000000006,0.012,0.102,0.0,0.0,0.0,0.066,0.0,0.031,0.14400000000000002,0.006,0.018000000000000002,0.012,0.024,0.0,0.0,0.138,0.036000000000000004,0.0,0.0,0.0,0.024,0.0,0.09,0.0,0.006,0.0,0.006,0.0,0.048,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spanish Nth Cantabria,143.0,,0.0,0.0,0.0,
6,0.185,0.268,0.11699999999999999,0.0,0.0,0.061,0.0,0.025,0.11699999999999999,0.011000000000000001,0.025,0.037000000000000005,0.027000000000000003,0.042,0.026000000000000002,0.013000000000000001,0.011000000000000001,0.0,0.0,0.002,0.031,0.0,0.001,0.0,0.0,0.111,0.132,0.027999999999999997,0.033,0.083,0.0,0.0,0.037000000000000005,0.0,0.03,0.069,0.03,0.013999999999999999,0.013999999999999999,0.09699999999999999,0.006999999999999999,0.001,0.135,0.005,0.001,0.002,0.005,0.015,0.012,0.053,0.006,0.027999999999999997,0.0,0.027999999999999997,0.0,0.034,0.012,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian West caucasians,143.0,,0.0,0.0,0.0,
7,0.008,0.113,0.003,0.0,0.0,0.076,0.0,0.0,0.32899999999999996,0.0,0.0,0.0,0.0,0.028999999999999998,0.003,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.18899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.23800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.0,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Indigenous Yuendumu,143.0,,0.0,0.0,0.0,0.069467
8,0.187,0.27699999999999997,0.138,0.0,0.0,0.067,0.0,0.019,0.08199999999999999,0.019,0.022000000000000002,0.034,0.03,0.026000000000000002,0.034,0.004,0.0,0.0,0.0,0.0,0.055999999999999994,0.0,0.0,0.0,0.0,0.124,0.17300000000000001,0.008,0.022000000000000002,0.076,0.0,0.0,0.038,0.0,0.049,0.071,0.008,0.015,0.022000000000000002,0.087,0.004,0.0,0.147,0.004,0.0,0.004,0.0,0.008,0.012,0.049,0.0,0.015,0.0,0.015,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian NSW,143.0,,0.0,0.0,0.0,
9,0.053,0.175,0.044000000000000004,0.0,0.0,0.18,0.0,0.0,0.223,0.0,0.0,0.0,0.0,0.005,0.019,0.005,0.29100000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.035,0.27,0.005,0.15,0.0,0.0,0.01,0.0,0.005,0.01,0.0,0.02,0.035,0.16,0.0,0.0,0.025,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.17300000000000001,0.0,0.17300000000000001,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Indigenous CY peninsula,143.0,,0.0,0.0,0.0,0.069467
10,0.12300000000000001,0.265,0.13,0.0,0.0,0.051,0.0,0.033,0.09300000000000001,0.022000000000000002,0.04,0.055999999999999994,0.047,0.028999999999999998,0.036000000000000004,0.022000000000000002,0.0027,0.0,0.0,0.0032,0.043,0.0,0.0005,0.0,0.0,0.08900000000000001,0.069,0.022000000000000002,0.045,0.065,0.0,0.0,0.07400000000000001,0.0,0.039,0.10300000000000001,0.017,0.021,0.019,0.04,0.0082,0.001,0.163,0.0097,0.0026,0.0041,0.0005,0.027999999999999997,0.018000000000000002,0.087,0.0062,0.0257,0.0,0.0257,0.0,0.032,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,French Marseille,143.0,,0.0,0.0,0.0,
11,0.124,0.203,0.106,0.0,0.0,0.039,0.0,0.075,0.1,0.0,0.033,0.024,0.084,0.012,0.06,0.036000000000000004,0.0,0.0,0.0,0.009000000000000001,0.036000000000000004,0.048,0.0,0.0,0.0,0.018000000000000002,0.027000000000000003,0.024,0.042,0.024,0.0,0.0,0.057999999999999996,0.0,0.015,0.203,0.006,0.018000000000000002,0.012,0.033,0.076,0.024,0.096,0.015,0.0,0.015,0.0,0.069,0.057999999999999996,0.079,0.024,0.018000000000000002,0.0,0.018000000000000002,0.0,0.018000000000000002,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gaza Palestinians,143.0,,0.0,0.0,0.0,
12,0.138,0.149,0.094,0.0,0.0,0.094,0.0,0.005,0.071,0.0,0.027999999999999997,0.038,0.033,0.06,0.027000000000000003,0.005,0.005,0.0,0.0,0.005,0.094,0.011000000000000001,0.0,0.0,0.0,0.055,0.021,0.033,0.0,0.096,0.0,0.0,0.038,0.0,0.027000000000000003,0.141,0.011000000000000001,0.005,0.005,0.016,0.005,0.022000000000000002,0.066,0.0,0.0,0.005,0.022000000000000002,0.0,0.038,0.109,0.005,0.038,0.0,0.038,0.0,0.049,0.08800000000000001,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indian Dehli pop2,143.0,,0.0,0.0,0.0,0.043729
13,0.125,0.156,0.141,0.0,0.0,0.039,0.0,0.039,0.16399999999999998,0.0,0.102,0.023,0.039,0.0,0.055,0.063,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.078,0.055,0.055,0.063,0.036000000000000004,0.0,0.0,0.008,0.0,0.008,0.063,0.008,0.078,0.0,0.023,0.055,0.0,0.031,0.016,0.0,0.0,0.0,0.031,0.016,0.125,0.133,0.078,0.0,0.078,0.0,0.023,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iranian pop1,143.0,,0.0,0.0,0.0,0.044412
14,0.0657,0.239,0.0945,0.0,0.0,0.1048,0.0,0.0337,0.0554,0.0,0.0771,0.0174,0.0527,0.0304,0.0407,0.0641,0.0027,0.0043,0.0,0.013000000000000001,0.0875,0.0027,0.0114,0.0,0.0,0.0229,0.0782,0.0138,0.0277,0.1011,0.0,0.0,0.0448,0.0,0.0052,0.0997,0.0191,0.01,0.0114,0.1173,0.0129,0.0076,0.0219,0.0091,0.0,0.0,0.0,0.0076,0.0858,0.1855,0.0205,0.0124,0.0,0.0124,0.0,0.01,0.0463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates pop 2,143.0,,0.0,0.0,0.0,
15,0.07,0.289,0.07200000000000001,0.0,0.0,0.024,0.0,0.039,0.08,0.0,0.07400000000000001,0.032,0.045,0.066,0.037000000000000005,0.05,0.001,0.001,0.0,0.006,0.1,0.003,0.01,0.0,0.0,0.081,0.1,0.013999999999999999,0.02,0.048,0.0,0.0,0.02,0.0,0.018000000000000002,0.07,0.008,0.018000000000000002,0.019,0.015,0.034,0.01,0.021,0.006,0.0,0.003,0.0,0.015,0.163,0.215,0.035,0.006,0.0,0.006,0.0,0.013000000000000001,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saudi Arabians pop 4,143.0,,0.0,0.0,0.0,
16,0.079,0.134,0.052000000000000005,0.0,0.0,0.079,0.0,0.013999999999999999,0.059000000000000004,0.0,0.035,0.017,0.09300000000000001,0.07200000000000001,0.031,0.035,0.003,0.024,0.0,0.0,0.062,0.01,0.0,0.0,0.0,0.221,0.038,0.021,0.03,0.031,0.0,0.0,0.01,0.0,0.006,0.106,0.013999999999999999,0.013000000000000001,0.026000000000000002,0.01,0.006,0.027999999999999997,0.01,0.0,0.0,0.0,0.006999999999999999,0.024,0.02,0.107,0.024,0.006999999999999999,0.0,0.006999999999999999,0.0,0.027000000000000003,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jordanian Amman,143.0,,0.0,0.0,0.0,
17,0.11,0.31,0.06,0.0,0.0,0.08,0.0,0.05,0.07,0.01,0.07,0.02,0.06,0.02,0.06,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.11,0.03,0.05,0.04,0.07,0.0,0.0,0.1,0.0,0.0,0.18,0.01,0.01,0.02,0.01,0.04,0.01,0.07,0.02,0.0,0.0,0.0,0.06,0.02,0.09,0.01,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Italians East Sicily,143.0,,0.0,0.0,0.0,
18,0.138,0.299,0.086,0.0,0.0,0.098,0.0,0.046,0.10300000000000001,0.028999999999999998,0.0,0.098,0.017,0.0,0.006,0.023,0.006,0.0,0.0,0.0,0.052000000000000005,0.0,0.0,0.0,0.0,0.085,0.068,0.068,0.131,0.011000000000000001,0.0,0.0,0.006,0.0,0.057,0.10800000000000001,0.011000000000000001,0.017,0.04,0.023,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.04,0.0,0.028999999999999998,0.006,0.011000000000000001,0.0,0.011000000000000001,0.0,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spanish Ibiza,143.0,,0.0,0.0,0.0,
